Juego,Fecha,Jugada,N0,N1,N2,N3,N4,N5
1448,4/6/2016 9:00:00 PM,10-12-14-19-28-30,10,12,14,19,28,30
1449,4/9/2016 9:00:00 PM,06-10-16-23-26-33,6,10,16,23,26,33
1450,4/13/2016 9:00:00 PM,09-20-23-24-26-33,9,20,23,24,26,33
1451,4/16/2016 9:00:00 PM,02-08-18-20-28-33,2,8,18,20,28,33
1452,4/20/2016 9:00:00 PM,01-09-13-15-25-33,1,9,13,15,25,33
1453,4/23/2016 9:00:00 PM,13-17-23-26-27-33,13,17,23,26,27,33
1454,4/27/2016 9:00:00 PM,01-04-06-13-25-29,1,4,6,13,25,29
1455,4/30/2016 9:00:00 PM,05-07-11-13-21-33,5,7,11,13,21,33
1456,5/4/2016 9:00:00 PM,11-12-14-19-27-28,11,12,14,19,27,28
1457,5/7/2016 9:00:00 PM,03-12-13-14-26-31,3,12,13,14,26,31
1458,5/11/2016 9:00:00 PM,04-05-08-13-32-33,4,5,8,13,32,33
1459,5/14/2016 9:00:00 PM,02-05-07-13-16-33,2,5,7,13,16,33
1460,5/18/2016 9:00:00 PM,04-06-08-11-12-28,4,6,8,11,12,28
1461,5/21/2016 9:00:00 PM,01-02-09-10-26-31,1,2,9,10,26,31
1462,5/25/2016 9:00:00 PM,05-13-19-24-27-29,5,13,19,24,27,29
1465,6/4/2016 9:00:00 PM,02-04-07-25-27-32,2,4,7,25,27,32
1466,6/8/2016 9:00:00 PM,07-08-13-19-20-30,7,8,13,19,20,30
1467,6/11/2016 9:00:00 PM,05-09-14-16-17-20,5,9,14,16,17,20
1468,6/15/2016 9:00:00 PM,01-07-09-18-19-33,1,7,9,18,19,33
1469,6/18/2016 9:00:00 PM,05-06-16-18-21-24,5,6,16,18,21,24
1470,6/22/2016 9:00:00 PM,03-07-09-10-13-16,3,7,9,10,13,16
1479,7/23/2016 9:00:00 PM,05-16-17-20-21-22,5,16,17,20,21,22
1480,7/27/2016 9:00:00 PM,10-14-15-16-17-31,10,14,15,16,17,31
1481,7/30/2016 9:00:00 PM,02-13-26-28-30-32,2,13,26,28,30,32
1482,8/3/2016 9:00:00 PM,12-16-26-30-31-33,12,16,26,30,31,33
